id,ano,municipio,bioma,area_total,desmatado,vegetacao_natural,nao_vegetacao_natural,hidrografia
12259,2006,Santo Antônio do Içá,Amazônia,12306,130.0,11650.7,89.4,435.9
12260,2009,Santo Antônio do Içá,Amazônia,12306,133.4,11647.3,89.4,435.9
12261,2014,Santo Antônio do Içá,Amazônia,12306,137.2,11643.5,89.4,435.9
12262,2010,Santo Antônio do Içá,Amazônia,12306,134.2,11646.5,89.4,435.9
12263,2012,Santo Antônio do Içá,Amazônia,12306,137.2,11643.5,89.4,435.9
12264,2022,Santo Antônio do Içá,Amazônia,12306,147.2,11633.5,89.4,435.9
12265,2003,Santo Antônio do Içá,Amazônia,12306,127.2,11653.5,89.4,435.9
12266,2020,Santo Antônio do Içá,Amazônia,12306,143.4,11637.3,89.4,435.9
12267,2001,Santo Antônio do Içá,Amazônia,12306,125.7,11655.0,89.4,435.9
12268,2021,Santo Antônio do Içá,Amazônia,12306,145.2,11635.5,89.4,435.9
12269,2016,Santo Antônio do Içá,Amazônia,12306,138.3,11642.4,89.4,435.9
12270,2004,Santo Antônio do Içá,Amazônia,12306,128.6,11652.1,89.4,435.9
12271,2000,Santo Antônio do Içá,Amazônia,12306,111.3,11669.4,89.4,435.9
12272,2019,Santo Antônio do Içá,Amazônia,12306,140.4,11640.3,89.4,435.9
12273,2002,Santo Antônio do Içá,Amazônia,12306,126.5,11654.2,89.4,435.9
12274,2011,Santo Antônio do Içá,Amazônia,12306,137.0,11643.7,89.4,435.9
12275,2017,Santo Antônio do Içá,Amazônia,12306,139.5,11641.2,89.4,435.9
12276,2007,Santo Antônio do Içá,Amazônia,12306,131.2,11649.5,89.4,435.9
12277,2018,Santo Antônio do Içá,Amazônia,12306,139.9,11640.8,89.4,435.9
12278,2008,Santo Antônio do Içá,Amazônia,12306,132.2,11648.5,89.4,435.9
12279,2015,Santo Antônio do Içá,Amazônia,12306,137.3,11643.4,89.4,435.9
12280,2005,Santo Antônio do Içá,Amazônia,12306,129.0,11651.7,89.4,435.9
12281,2013,Santo Antônio do Içá,Amazônia,12306,137.2,11643.5,89.4,435.9
13409,2021,Novo Aripuanã,Amazônia,41236,2008.0,36828.0,1631.3,768.7
13410,2014,Novo Aripuanã,Amazônia,41236,1000.3,37835.7,1631.3,768.7
13411,2018,Novo Aripuanã,Amazônia,41236,1472.4,37363.6,1631.3,768.7
13412,2007,Novo Aripuanã,Amazônia,41236,797.6,38038.4,1631.3,768.7
13413,2011,Novo Aripuanã,Amazônia,41236,914.1,37921.9,1631.3,768.7
13414,2000,Novo Aripuanã,Amazônia,41236,534.7,38301.3,1631.3,768.7
13415,2013,Novo Aripuanã,Amazônia,41236,974.6,37861.4,1631.3,768.7
13416,2010,Novo Aripuanã,Amazônia,41236,896.3,37939.7,1631.3,768.7
13417,2001,Novo Aripuanã,Amazônia,41236,550.3,38285.7,1631.3,768.7
13418,2017,Novo Aripuanã,Amazônia,41236,1332.5,37503.5,1631.3,768.7
13419,2003,Novo Aripuanã,Amazônia,41236,599.3,38236.7,1631.3,768.7
13420,2020,Novo Aripuanã,Amazônia,41236,1813.6,37022.4,1631.3,768.7
13421,2006,Novo Aripuanã,Amazônia,41236,752.8,38083.2,1631.3,768.7
13422,2022,Novo Aripuanã,Amazônia,41236,2303.0,36533.0,1631.3,768.7
13423,2002,Novo Aripuanã,Amazônia,41236,565.2,38270.8,1631.3,768.7
13424,2005,Novo Aripuanã,Amazônia,41236,715.7,38120.3,1631.3,768.7
13425,2008,Novo Aripuanã,Amazônia,41236,860.3,37975.7,1631.3,768.7
13426,2012,Novo Aripuanã,Amazônia,41236,931.7,37904.3,1631.3,768.7
13427,2004,Novo Aripuanã,Amazônia,41236,651.4,38184.6,1631.3,768.7
13428,2016,Novo Aripuanã,Amazônia,41236,1205.9,37630.1,1631.3,768.7
13429,2019,Novo Aripuanã,Amazônia,41236,1703.3,37132.7,1631.3,768.7
13430,2015,Novo Aripuanã,Amazônia,41236,1053.5,37782.5,1631.3,768.7
13431,2009,Novo Aripuanã,Amazônia,41236,876.0,37960.0,1631.3,768.7
14099,2002,Codajás,Amazônia,18709,245.3,16303.6,727.4,1432.7
14100,2018,Codajás,Amazônia,18709,272.4,16276.5,727.4,1432.7
14101,2021,Codajás,Amazônia,18709,277.6,16271.3,727.4,1432.7
14102,2008,Codajás,Amazônia,18709,259.0,16289.9,727.4,1432.7
14103,2007,Codajás,Amazônia,18709,257.6,16291.3,727.4,1432.7
14104,2022,Codajás,Amazônia,18709,279.5,16269.4,727.4,1432.7
14105,2015,Codajás,Amazônia,18709,268.0,16280.9,727.4,1432.7
14106,2019,Codajás,Amazônia,18709,274.9,16274.0,727.4,1432.7
14107,2000,Codajás,Amazônia,18709,235.7,16313.2,727.4,1432.7
14108,2014,Codajás,Amazônia,18709,267.0,16281.9,727.4,1432.7
14109,2005,Codajás,Amazônia,18709,255.2,16293.7,727.4,1432.7
14110,2006,Codajás,Amazônia,18709,255.2,16293.7,727.4,1432.7
14111,2011,Codajás,Amazônia,18709,262.2,16286.7,727.4,1432.7
14112,2010,Codajás,Amazônia,18709,261.4,16287.5,727.4,1432.7
14113,2003,Codajás,Amazônia,18709,250.7,16298.2,727.4,1432.7
14114,2013,Codajás,Amazônia,18709,263.9,16285.0,727.4,1432.7
14115,2016,Codajás,Amazônia,18709,269.1,16279.8,727.4,1432.7
14116,2012,Codajás,Amazônia,18709,262.8,16286.1,727.4,1432.7
14117,2009,Codajás,Amazônia,18709,260.3,16288.6,727.4,1432.7
14118,2004,Codajás,Amazônia,18709,253.9,16295.0,727.4,1432.7
14119,2001,Codajás,Amazônia,18709,241.7,16307.2,727.4,1432.7
14120,2017,Codajás,Amazônia,18709,270.5,16278.4,727.4,1432.7
14121,2020,Codajás,Amazônia,18709,276.2,16272.7,727.4,1432.7
16031,2018,Benjamin Constant,Amazônia,8728,191.9,8357.6,0.0,178.5
16032,2021,Benjamin Constant,Amazônia,8728,194.1,8355.4,0.0,178.5
16033,2013,Benjamin Constant,Amazônia,8728,189.9,8359.6,0.0,178.5
16034,2022,Benjamin Constant,Amazônia,8728,194.9,8354.6,0.0,178.5
16035,2002,Benjamin Constant,Amazônia,8728,178.0,8371.5,0.0,178.5
16036,2008,Benjamin Constant,Amazônia,8728,186.3,8363.2,0.0,178.5
16037,2001,Benjamin Constant,Amazônia,8728,176.8,8372.7,0.0,178.5
16038,2014,Benjamin Constant,Amazônia,8728,190.2,8359.3,0.0,178.5
16039,2010,Benjamin Constant,Amazônia,8728,187.4,8362.1,0.0,178.5
16040,2009,Benjamin Constant,Amazônia,8728,186.9,8362.6,0.0,178.5
16041,2006,Benjamin Constant,Amazônia,8728,183.0,8366.5,0.0,178.5
16042,2011,Benjamin Constant,Amazônia,8728,188.3,8361.2,0.0,178.5
